purpose,home_ownership,completed_loans,defaults,default_rate_pct,avg_loan_amount
car,RENT,6534,1211.0,18.53,8574.0
car,OWN,2001,288.0,14.39,8730.0
car,MORTGAGE,6104,656.0,10.75,9152.0
credit_card,RENT,122184,23983.0,19.63,12823.0
credit_card,OWN,32434,5768.0,17.78,14638.0
credit_card,MORTGAGE,140883,20283.0,14.4,16564.0
debt_consolidation,RENT,318156,77498.0,24.36,13377.0
debt_consolidation,OWN,76211,16592.0,21.77,14555.0
debt_consolidation,MORTGAGE,386840,71183.0,18.4,16878.0
educational,RENT,271,61.0,22.51,6042.0
home_improvement,RENT,6989,1656.0,23.69,12395.0
home_improvement,OWN,14021,2827.0,20.16,13623.0
home_improvement,MORTGAGE,66676,11087.0,16.63,14423.0
house,RENT,3516,900.0,25.6,14309.0
house,OWN,1208,236.0,19.54,15642.0
house,MORTGAGE,2568,462.0,17.99,16656.0
major_purchase,RENT,13510,2995.0,22.17,11422.0
major_purchase,OWN,3731,724.0,19.4,11773.0
major_purchase,MORTGAGE,12297,1779.0,14.47,12271.0
medical,RENT,6711,1694.0,25.24,8342.0
medical,OWN,1917,456.0,23.79,8684.0
medical,MORTGAGE,6973,1259.0,18.06,9704.0
moving,OWN,583,171.0,29.33,9038.0
moving,RENT,7210,1726.0,23.94,7136.0
moving,MORTGAGE,1729,331.0,19.14,10457.0
other,RENT,37242,9087.0,24.4,9095.0
other,OWN,9812,2096.0,21.36,9641.0
other,MORTGAGE,31199,5318.0,17.05,10724.0
renewable_energy,RENT,423,123.0,29.08,9269.0
renewable_energy,MORTGAGE,397,81.0,20.4,10773.0
small_business,RENT,6958,2304.0,33.11,14270.0
small_business,OWN,1675,504.0,30.09,15545.0
small_business,MORTGAGE,6924,1839.0,26.56,17016.0
vacation,RENT,4542,1023.0,22.52,6138.0
vacation,OWN,1134,214.0,18.87,6083.0
vacation,MORTGAGE,3404,507.0,14.89,6296.0
wedding,RENT,1453,180.0,12.39,10082.0
wedding,MORTGAGE,745,92.0,12.35,11242.0
