addr_state,completed_loans,defaults,default_rate_pct,total_volume,portfolio_avg_default_pct,delta_vs_portfolio_pct,risk_rank
MS,6595,1722.0,26.11,92189700.0,19.44,6.67,1
NE,3592,906.0,25.22,47936625.0,19.44,5.78,2
AR,10062,2426.0,24.11,135766675.0,19.44,4.67,3
AL,16645,3934.0,23.63,232157175.0,19.44,4.19,4
OK,12298,2886.0,23.47,175244725.0,19.44,4.03,5
LA,15524,3598.0,23.18,221187600.0,19.44,3.74,6
NY,110097,24277.0,22.05,1573629925.0,19.44,2.61,7
NV,20296,4459.0,21.97,279348550.0,19.44,2.53,8
FL,95843,20608.0,21.5,1315088975.0,19.44,2.06,9
IN,21726,4656.0,21.43,304796975.0,19.44,1.99,10
TN,20400,4368.0,21.41,288355475.0,19.44,1.97,11
NM,7377,1576.0,21.36,105054550.0,19.44,1.92,12
MO,21340,4554.0,21.34,295959450.0,19.44,1.9,13
SD,2770,591.0,21.34,37409800.0,19.44,1.9,13
MD,31298,6678.0,21.34,473181775.0,19.44,1.9,13
NJ,48583,10260.0,21.12,736470075.0,19.44,1.68,16
KY,12871,2704.0,21.01,175649900.0,19.44,1.57,17
PA,45656,9510.0,20.83,640293150.0,19.44,1.39,18
NC,37826,7866.0,20.8,536502725.0,19.44,1.36,19
OH,43947,9020.0,20.52,600753750.0,19.44,1.08,20
ND,1602,328.0,20.47,23347600.0,19.44,1.03,21
MI,35308,7170.0,20.31,486833150.0,19.44,0.87,22
HI,6765,1368.0,20.22,102598475.0,19.44,0.78,23
VA,38119,7602.0,19.94,583328875.0,19.44,0.5,24
TX,110354,21897.0,19.84,1674941875.0,19.44,0.4,25
MN,24004,4743.0,19.76,335282500.0,19.44,0.32,26
DE,3805,751.0,19.74,53838325.0,19.44,0.3,27
AK,3195,628.0,19.66,52597000.0,19.44,0.22,28
AZ,32748,6438.0,19.66,455137900.0,19.44,0.22,28
CA,196853,38642.0,19.63,2887751525.0,19.44,0.19,30
MA,31071,5926.0,19.07,474754875.0,19.44,-0.37,31
ID,1692,318.0,18.79,22976050.0,19.44,-0.65,32
GA,43480,8013.0,18.43,634086950.0,19.44,-1.01,33
WI,17788,3268.0,18.37,244707000.0,19.44,-1.07,34
IL,51870,9399.0,18.12,763135000.0,19.44,-1.32,35
RI,5881,1052.0,17.89,80045850.0,19.44,-1.55,36
CT,19791,3441.0,17.39,288380850.0,19.44,-2.05,37
UT,10055,1717.0,17.08,146462300.0,19.44,-2.36,38
MT,3834,651.0,16.98,51339800.0,19.44,-2.46,39
KS,11267,1888.0,16.76,158139350.0,19.44,-2.68,40
WY,2926,490.0,16.75,43946000.0,19.44,-2.69,41
SC,16010,2608.0,16.29,226924550.0,19.44,-3.15,42
WA,29235,4616.0,15.79,431787125.0,19.44,-3.65,43
CO,29736,4620.0,15.54,435170750.0,19.44,-3.9,44
WV,4888,759.0,15.53,68878050.0,19.44,-3.91,45
NH,6465,942.0,14.57,92603950.0,19.44,-4.87,46
OR,16427,2370.0,14.43,222349600.0,19.44,-5.01,47
VT,2655,371.0,13.97,35215925.0,19.44,-5.47,48
ME,2030,281.0,13.84,28334475.0,19.44,-5.6,49
DC,3485,461.0,13.23,52769700.0,19.44,-6.21,50
